# Teks menu Master Looter dalam Bahasa Indonesia (id). Terjemahan mesin; belum
# diperiksa oleh penutur asli. Koreksi dipersilakan di GitHub
# (github.com/shin2344234/master-looter) atau di halaman Nexus mod ini.
#
# Satu baris per teks: bahasa Inggris asli, satu tab, lalu terjemahannya.
# Baris yang diawali # diabaikan, \n berarti ganti baris, dan baris tanpa
# terjemahan setelah tab tetap ditampilkan dalam bahasa Inggris.
# Setiap %d, %s, %.1f, dan penanda lain harus tetap berada di urutan yang
# sama, karena nilainya disisipkan saat game berjalan; baris yang mengubah
# penanda ini diabaikan saat dimuat agar tidak menampilkan nilai yang salah.
#
# Simpan file dengan nama ini di sebelah MasterLooter.asi untuk menimpa
# salinan bawaan di dalam plugin.

  bag full	  tas penuh
 (first 250)	 (250 pertama)
%-18s %s (%zu hits)%s	%-18s %s (%zu hasil)%s
%d classes	%d kelas
%d items, %d classes, %d tags	%d item, %d kelas, %d tag
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d baris diabaikan: placeholder %%d atau %%s miliknya tidak cocok dengan bahasa Inggris, sehingga jika dipakai akan menampilkan nilai yang salah.
%d matches%s	%d hasil%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d jenis node dipelajari sesi ini. Node diberi nama sesuai prefab tempat mereka ditempatkan; apa pun yang terlewat oleh tabel itu diidentifikasi pertama kali saat menghasilkan sesuatu. Nomor jenis sebuah node berubah antar sesi, jadi tidak ada yang diingat setelah kamu keluar.
%d objects within scan range, %d lootable now.	%d objek dalam jangkauan pemindaian, %d bisa dijarah sekarang.
%d overrides	%d override
%s (key %u, row %d, tier %d)	%s (kunci %u, baris %d, tingkat %d)
%s (never looted)	%s (tidak pernah dijarah)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s adalah terjemahan mesin yang belum diperiksa siapa pun. Koreksi diterima di GitHub atau halaman Nexus.
%s translated by %s.	%s diterjemahkan oleh %s.
%s, let go to keep it	%s, lepaskan untuk menyimpannya
1 match%s	1 hasil%s
3 of 3	3 dari 3
\"%s\" already exists. Saving over it asks first.	\"%s\" sudah ada. Menyimpan di atasnya akan meminta konfirmasi dulu.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Ember sumur dan sejenisnya tidak pernah dijarah, tapi mengaktifkannya membuat game menawarkan interaksinya sehingga kamu bisa memakainya sendiri.
Abyss and Kuku	Abyss dan Kuku
Abyss gear, Kuku pots and their parts.	Perlengkapan Abyss, pot Kuku, dan bagian-bagiannya.
Accessories	Aksesori
allowed	diizinkan
always	selalu
always beats the class rule; never beats always	selalu mengalahkan aturan kelas; tidak pernah mengalahkan selalu
Ammunition	Amunisi
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Apa pun yang diberi tag quest, di semua kelas. Nonaktifkan untuk menyisakan barang cerita dan potongan teka-teki untuk kamu ambil sendiri.
Arm mechanism containers too	Aktifkan juga wadah mekanisme
Arm nodes ourselves	Aktifkan node secara mandiri
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Pengaktifan mengabaikan tembok. Jaga jangkauannya tetap pendek, atau kamu akan mengumpulkan barang menembus tembok ruangan sebelah. Bijih adalah pengecualian dan selalu dijangkau hingga 25 m, karena urat bijih butuh beberapa detik untuk merespons dan jika baru diminta saat kamu sudah tepat di atasnya, responsnya datang terlalu lambat untuk berguna.
Arming range	Jangkauan pengaktifan
Auto-loot enabled	Loot otomatis aktif
Auto-loot on / off	Aktifkan/nonaktifkan loot otomatis
Backups	Cadangan
blank for English	kosongkan untuk bahasa Inggris
Books and papers	Buku dan kertas
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Hadiah bos, artefak, item memori, kantong koin, dan peti hadiah.
Break veins open rather than emptying them	Pecahkan urat bijih daripada mengosongkannya
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Memecahkan menjalankan mesin status game itu sendiri pada urat bijih: ayunan mendarat lalu terjadi pecah, sehingga node menumpahkan isinya ke tanah dan menghilang persis seperti di bawah beliung. Mengosongkan justru mengangkat bijih langsung keluar dan melewatkan jatuhannya sama sekali. Kedua cara sama-sama tidak membayar Mining Yield Up alatmu, yang hanya diberikan game pada ayunan yang dianggapnya milikmu, jadi atur nilai tambahan di bawah untuk menutup selisihnya. Setiap urat bijih dipukul sekali lalu dibiarkan sampai game memunculkannya kembali.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Kupu-kupu, kumbang, capung, lebah, laba-laba, kalajengking, siput, dan makhluk kecil lain yang digolongkan game sebagai serangga. Spesies berasal dari tabel makhluk; makhluk yang tidak bisa diberi nama oleh tabel hanya ditangkap kalau semua kategori yang mungkin ditempatinya aktif (makhluk terbang bisa jadi ikan, serangga, atau burung).
captured	tertangkap
Carcasses	Bangkai
Carcasses and bodies	Bangkai dan mayat
Bodies	Mayat
carcasses off	bangkai nonaktif
bodies off	mayat mati
Catching	Penangkapan
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Makhluk yang ditangkap, hidup atau tergeletak; makhluk yang bisa diberi nama oleh tabel mengikuti aturan kelasnya. Kepiting, udang, dan cumi masuk makanan laut di Makanan dan minuman.
Class	Kelas
class %s	kelas %s
Classes	Kelas
Clear	Hapus
Clear overrides	Hapus override
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Menghapus apa yang dipelajari sesi ini dari tasmu. Node yang sudah diberi nama oleh tabel prefab tidak terpengaruh.
Close	Tutup
container (off)	wadah (nonaktif)
Containers	Wadah
containers off	wadah nonaktif
Controller	Kontroler
Copper	Tembaga
Copy	Salin
Copy path	Salin jalur
Copy to the clipboard.	Salin ke clipboard.
corpse	mayat
corpse already searched	mayat sudah digeledah
corpse: loot drops separately	mayat: jarahan jatuh terpisah
creature	makhluk
Creatures	Makhluk
Crops	Tanaman pangan
crops off	tanaman pangan nonaktif
Damaged gear	Perlengkapan rusak
Dead zone around you	Zona mati di sekitarmu
Decision	Keputusan
default	default
DirectX 12 hooks	Hook DirectX 12
does not respond	tidak merespons
