# Κείμενο μενού του Master Looter στα Ελληνικά. Αυτή είναι αυτόματη μετάφραση
# και δεν την έχει ελέγξει ακόμα κανένας φυσικός ομιλητής. Διορθώσεις είναι
# ευπρόσδεκτες στο GitHub (github.com/shin2344234/master-looter) ή στη σελίδα
# του mod στο Nexus.
#
# Μία γραμμή ανά κείμενο: το αγγλικό πρωτότυπο, μια στηλοθέτηση (tab) και μετά
# η μετάφραση. Γραμμές που ξεκινούν με # αγνοούνται. Το \n μέσα σε ένα κείμενο
# σημαίνει αλλαγή γραμμής. Μια γραμμή χωρίς μετάφραση μετά τη στηλοθέτηση
# εμφανίζεται στα αγγλικά, οπότε ένα μισοτελειωμένο αρχείο λειτουργεί κανονικά.
# Κάθε %d, %s, %.1f και τα λοιπά πρέπει να διατηρηθούν ακριβώς όπως είναι και
# με την ίδια σειρά: αντικαθίστανται με αριθμούς και ονόματα κατά την εκτέλεση,
# και μια γραμμή που τα αλλάζει αγνοείται αντί να ρισκάρει λάθος τιμές.
#
# Αποθήκευσέ το ως MasterLooter.el.txt δίπλα στο plugin ώστε να αντικαταστήσει
# το ενσωματωμένο αντίγραφο, και όρισε Language=el στο MasterLooter.ini ή
# πληκτρολόγησε τη γλώσσα στο General, Language.

  bag full	  τσάντα γεμάτη
 (first 250)	 (πρώτα 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu ευρήματα)%s
%d classes	%d κατηγορίες
%d items, %d classes, %d tags	%d αντικείμενα, %d κατηγορίες, %d ετικέτες
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d γραμμή(ές) αγνοήθηκαν: οι δεσμευτικές θέσεις %%d ή %%s τους δεν ταίριαζαν με το αγγλικό, και η χρήση τους θα εμφάνιζε λανθασμένες τιμές.
%d matches%s	%d αποτελέσματα%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d είδη κόμβων μαθεύτηκαν σε αυτή τη συνεδρία. Οι κόμβοι ονομάζονται από το prefab από το οποίο τοποθετήθηκαν· ό,τι λείπει από αυτόν τον πίνακα αναγνωρίζεται την πρώτη φορά που αποδίδει κάτι. Ο αριθμός τύπου ενός κόμβου αλλάζει μεταξύ συνεδριών, οπότε τίποτα δεν θυμάται μετά την έξοδο.
%d objects within scan range, %d lootable now.	%d αντικείμενα εντός εμβέλειας σάρωσης, %d με δυνατότητα λουτ τώρα.
%d overrides	%d παρακάμψεις
%s (key %u, row %d, tier %d)	%s (κλειδί %u, γραμμή %d, βαθμίδα %d)
%s (never looted)	%s (δεν λεηλατήθηκε ποτέ)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s είναι αυτόματη μετάφραση που δεν έχει ελέγξει ακόμη κανείς. Διορθώσεις είναι ευπρόσδεκτες στο GitHub ή στη σελίδα του Nexus.
%s translated by %s.	%s, μετάφραση από %s.
%s, let go to keep it	%s, άσε τα πλήκτρα για να το κρατήσεις
1 match%s	1 αποτέλεσμα%s
3 of 3	3 από 3
\"%s\" already exists. Saving over it asks first.	Το \"%s\" υπάρχει ήδη. Η αντικατάστασή του θα ζητήσει επιβεβαίωση πρώτα.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Ένας κουβάς πηγαδιού και παρόμοια αντικείμενα δεν μπαίνουν ποτέ σε λουτ, αλλά η όπλισή του κάνει το παιχνίδι να προσφέρει την αλληλεπίδρασή του ώστε να το χρησιμοποιήσεις με το χέρι.
Abyss and Kuku	Abyss και Kuku
Abyss gear, Kuku pots and their parts.	Εξοπλισμός Abyss, δοχεία Kuku και τα μέρη τους.
Accessories	Αξεσουάρ
allowed	επιτρέπεται
always	πάντα
always beats the class rule; never beats always	το πάντα νικά τον κανόνα κατηγορίας· το ποτέ νικά το πάντα
Ammunition	Πυρομαχικά
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Οτιδήποτε έχει ετικέτα αποστολής, σε κάθε κατηγορία. Ανενεργό κρατάει τα αντικείμενα ιστορίας και τα κομμάτια γρίφων για τα δικά σου χέρια.
Arm mechanism containers too	Όπλισε και τους μηχανισμούς-δοχεία
Arm nodes ourselves	Αυτόματη όπλιση κόμβων
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Η όπλιση αγνοεί τους τοίχους. Κράτησέ την μικρή, αλλιώς θα συλλέγεις μέσα από τον τοίχο του διπλανού δωματίου. Το μετάλλευμα αποτελεί εξαίρεση και οπλίζεται πάντα μέχρι και 25 μ., γιατί μια φλέβα χρειάζεται δευτερόλεπτα για να απαντήσει, και αν τη ρωτήσεις μόνο όταν είσαι από πάνω της ανοίγει πολύ αργά για να χρησιμεύσει.
Arming range	Εμβέλεια όπλισης
Auto-loot enabled	Αυτόματο λουτ ενεργό
Auto-loot on / off	Αυτόματο λουτ ενεργό / ανενεργό
Backups	Αντίγραφα ασφαλείας
