# Testo del menu di Master Looter in italiano.
#
# Questa è una traduzione automatica: nessun madrelingua l'ha ancora
# rivista. Le correzioni sono
# benvenute su GitHub (github.com/shin2344234/master-looter) o sulla
# pagina Nexus del mod.
#
# Una riga per ogni testo: l'originale in inglese, una tabulazione, poi
# la traduzione. \n rappresenta un a capo. Le righe che iniziano con #
# vengono ignorate. Una riga senza traduzione dopo la tabulazione resta
# visualizzata in inglese, quindi un file a metà è comunque utilizzabile.
# Ogni %d, %s, %.1f e gli altri segnaposto devono restare esattamente
# come sono e nello stesso ordine dell'originale inglese: vengono
# sostituiti con numeri e nomi a runtime, e una riga che li altera viene
# ignorata invece di rischiare valori sbagliati.
#
# Salva come MasterLooter.<lingua>.txt accanto al plugin, per esempio
# MasterLooter.it.txt, poi imposta Language=it in MasterLooter.ini oppure
# digita la lingua in Generale, Lingua. Un file con questo nome accanto a
# MasterLooter.asi sostituisce la copia incorporata nel plugin.

  bag full	  borsa piena
 (first 250)	 (prime 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu risultati)%s
%d classes	%d classi
%d items, %d classes, %d tags	%d oggetti, %d classi, %d etichette
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d riga/e sono state ignorate: i loro segnaposto %%d o %%s non corrispondevano all'inglese, e usarli avrebbe stampato valori sbagliati.
%d matches%s	%d corrispondenze%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d tipi di punto appresi in questa sessione. I punti prendono il nome dal prefab da cui sono stati posizionati; ciò che quella tabella non copre viene identificato la prima volta che produce qualcosa. Il numero di tipo di un punto cambia tra una sessione e l'altra, quindi non viene ricordato nulla dopo l'uscita.
%d objects within scan range, %d lootable now.	%d oggetti nel raggio di scansione, %d prelevabili ora.
%d overrides	%d eccezioni
%s (key %u, row %d, tier %d)	%s (tasto %u, riga %d, livello %d)
%s (never looted)	%s (mai prelevato)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s è una traduzione automatica che nessuno ha ancora verificato. Le correzioni sono benvenute su GitHub o sulla pagina Nexus.
%s translated by %s.	%s tradotto da %s.
%s, let go to keep it	%s, rilascia per confermarlo
1 match%s	1 corrispondenza%s
3 of 3	3 di 3
\"%s\" already exists. Saving over it asks first.	\"%s\" esiste già. Sovrascriverlo richiede prima una conferma.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Il secchio di un pozzo e oggetti simili non vengono mai prelevati automaticamente, ma attivarli fa sì che il gioco offra la sua interazione, così puoi usarli manualmente.
Abyss and Kuku	Abyss e Kuku
Abyss gear, Kuku pots and their parts.	Equipaggiamento Abyss, vasi Kuku e le loro parti.
Accessories	Accessori
allowed	consentito
always	sempre
always beats the class rule; never beats always	\"sempre\" prevale sulla regola della classe; \"mai\" prevale su \"sempre\"
Ammunition	Munizioni
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Qualsiasi oggetto etichettato come missione, in ogni classe. Disattivato lascia oggetti della trama e pezzi di enigmi alle tue mani.
Arm mechanism containers too	Attiva anche i contenitori dei meccanismi
Arm nodes ourselves	Attiva i punti automaticamente
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	L'attivazione ignora i muri. Tienila corta o raccoglierai attraverso il muro della stanza accanto. Il minerale è l'eccezione ed è sempre raggiunto fino a 25 m, perché una vena impiega secondi a rispondere, e chiederglielo solo quando sei già sopra significa che si apre troppo tardi per essere utile.
Arming range	Raggio di attivazione
Auto-loot enabled	Loot automatico attivato
Auto-loot on / off	Loot automatico on/off
Backups	Backup
blank for English	vuoto per l'inglese
Books and papers	Libri e documenti
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Ricompense dei boss, artefatti, oggetti di memoria, borse di monete e forzieri di ricompensa.
Break veins open rather than emptying them	Spacca le vene invece di svuotarle
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Spaccare la vena aziona la macchina a stati del gioco: prima il colpo va a segno, poi avviene la rottura, così il punto rovescia il suo contenuto a terra e scompare esattamente come farebbe sotto un piccone. Svuotarla invece estrae il minerale direttamente e salta del tutto la caduta a terra. Nessuna delle due strade paga il bonus Resa mineraria della tua attrezzatura, che il gioco concede solo a un colpo che riconosce come tuo, quindi imposta l'extra qui sotto per compensare la differenza. Ogni vena viene colpita una volta e poi lasciata stare finché il gioco non la rigenera.
