# ข้อความเมนูของ Master Looter ภาษาไทย
# นี่คือคำแปลด้วยเครื่อง ยังไม่มี
# เจ้าของภาษาตรวจทานเลย ยินดีรับคำแก้ไขที่ GitHub
# (github.com/shin2344234/master-looter) หรือที่หน้า Nexus ของม็อด
#
# หนึ่งบรรทัดต่อหนึ่งข้อความ: ภาษาอังกฤษต้นฉบับ ตามด้วยแท็บ แล้วตามด้วยคำแปล
# บรรทัดที่ขึ้นต้นด้วย # จะถูกข้าม \n หมายถึงการขึ้นบรรทัดใหม่ และบรรทัดที่ไม่มี
# คำแปลต่อจากแท็บจะยังคงแสดงเป็นภาษาอังกฤษ ซึ่งใช้งานได้ตามปกติแม้แปลไม่ครบ
# ต้องคงสัญลักษณ์ %d, %s, %.1f และอื่น ๆ ไว้ตามลำดับเดิมเสมอ เพราะค่าตัวเลขและ
# ชื่อจะถูกแทนที่ลงไปตอนเกมทำงาน บรรทัดที่เปลี่ยนสัญลักษณ์เหล่านี้จะถูกข้ามไป
#
# ไฟล์นี้เมื่อวางไว้ชื่อ MasterLooter.th.txt ข้างปลั๊กอิน จะแทนที่ชุดคำแปลที่
# มากับตัวปลั๊กอินโดยอัตโนมัติ

  bag full	  กระเป๋าเต็ม
 (first 250)	 (250 รายการแรก)
%-18s %s (%zu hits)%s	%-18s %s (พบ %zu ครั้ง)%s
%d classes	%d ประเภท
%d items, %d classes, %d tags	%d ไอเทม, %d ประเภท, %d แท็ก
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d บรรทัดถูกข้าม: ตัวยึดตำแหน่ง %%d หรือ %%s ไม่ตรงกับต้นฉบับภาษาอังกฤษ การใช้บรรทัดเหล่านี้จะแสดงค่าที่ผิดพลาด
%d matches%s	พบ %d รายการ%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	เรียนรู้จุดเก็บของแล้ว %d ประเภทในเซสชันนี้ จุดเก็บของถูกตั้งชื่อตาม prefab ที่ใช้วางมัน สิ่งที่ตารางไม่มีจะถูกระบุตัวตนเมื่อให้ผลผลิตครั้งแรก หมายเลขประเภทของจุดเก็บของเปลี่ยนไปในแต่ละเซสชัน จึงไม่มีสิ่งใดถูกจดจำไว้หลังจากออกจากเกม
%d objects within scan range, %d lootable now.	มีวัตถุอยู่ในระยะสแกน %d ชิ้น, ลูทได้ตอนนี้ %d ชิ้น
%d overrides	%d การแทนที่
%s (key %u, row %d, tier %d)	%s (คีย์ %u, แถว %d, ระดับ %d)
%s (never looted)	%s (ไม่เคยลูทเลย)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s เป็นคำแปลจากเครื่องที่ยังไม่มีใครตรวจสอบ ยินดีรับคำแก้ไขบน GitHub หรือหน้า Nexus
%s translated by %s.	%s แปลโดย %s
%s, let go to keep it	%s ปล่อยปุ่มเพื่อเก็บไว้
1 match%s	พบ 1 รายการ%s
3 of 3	3 จาก 3
\"%s\" already exists. Saving over it asks first.	\"%s\" มีอยู่แล้ว การบันทึกทับจะถามยืนยันก่อนเสมอ
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	ถังบ่อน้ำและสิ่งคล้ายกันจะไม่ถูกลูทเลย แต่การกระตุ้นมันจะทำให้เกมเสนอการโต้ตอบให้คุณใช้งานด้วยมือเอง
Abyss and Kuku	Abyss และ Kuku
Abyss gear, Kuku pots and their parts.	อุปกรณ์ Abyss, หม้อ Kuku และชิ้นส่วนของมัน
Accessories	เครื่องประดับ
allowed	อนุญาต
always	เสมอ
always beats the class rule; never beats always	"เสมอ" ชนะกฎของประเภทเสมอ ส่วน "ไม่เลย" ชนะ "เสมอ"
Ammunition	กระสุน
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	ไอเทมที่ติดแท็กเควสต์ทุกประเภท ปิดไว้เพื่อเก็บของเก็บในเนื้อเรื่องและชิ้นส่วนปริศนาไว้ให้คุณเก็บเอง
Arm mechanism containers too	กระตุ้นกล่องกลไกด้วย
Arm nodes ourselves	กระตุ้นจุดเก็บของเอง
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	การกระตุ้นทะลุกำแพงได้ ควรตั้งระยะให้สั้น มิฉะนั้นคุณจะเก็บของทะลุกำแพงห้องถัดไป ยกเว้นแร่ซึ่งเอื้อมถึงได้ไกลสุดถึง 25 ม. เสมอ เพราะสายแร่ใช้เวลาหลายวินาทีในการตอบสนอง และถ้ารอจนยืนอยู่บนมันค่อยขอ มันจะเปิดช้าเกินจะมีประโยชน์
Arming range	ระยะกระตุ้น
Auto-loot enabled	เปิดใช้งานลูทอัตโนมัติ
