prefab	kind	item_key	name	src	breaks	yields	driven	pickup	statepick
cd_ancient_altarstone_01_01	stone	Stone_Quarry	Stone	name	0		0	0	0
cd_bigtree_02_birch_paper_parts01	wood		Wood	name	0		0	0	0
cd_bigtree_02_burn_parts01	wood		Cd bigtree 02 burn parts01	name	0		0	0	0
cd_bigtree_02_oak_parts01	wood		Cd bigtree 02 oak parts01	name	0		0	0	0
cd_bigtree_02_pail_parts01	wood		Cd bigtree 02 pail parts01	name	0		0	0	0
cd_bigtree_02_parts01	wood		Cd bigtree 02 parts01	name	0		0	0	0
cd_bigtree_02_pine_parts01	wood		Cd bigtree 02 pine parts01	name	0		0	0	0
cd_box_mushroom_02	container		Cd box mushroom	tag	1	Songyi_Mushroom	0	0	0
cd_box_mushroom_04	plant		Cd box mushroom	name	1		0	0	0
cd_cd_fabric_deco_carpet_08	container	Collection_Prop_Tool_0011	Pile of Cloth	tag	0		0	0	0
cd_cd_fabric_deco_carpet_10	container	Collection_Prop_Tool_0010	Pile of Clothing Materials	tag	0		0	0	0
cd_ex_dpf_fishbasket_03	container		Cd ex dpf fishbasket	tag	1	Food_Dried_Fish	0	0	0
cd_ex_dpf_flowerbasket_01	container	Collection_Prop_FlowerPot_0002	Flower Basket	tag	0		0	0	0
cd_ex_dpf_flowerbasket_02	container	Collection_Prop_FlowerPot_0003	Daisy Flower Basket	tag	0		0	0	0
cd_ex_dpf_flowerbasket_03	container	Collection_Prop_FlowerPot_0004	Yellow Blue-Eyed Grass Basket	tag	0		0	0	0
cd_ex_dpf_flowerhang_01	plant		Cd ex dpf flowerhang	name	0		0	0	0
cd_ex_dpf_flowerhang_02	plant		Cd ex dpf flowerhang	name	0		0	0	0
cd_ex_dpf_flowerhang_03	plant		Cd ex dpf flowerhang	name	0		0	0	0
cd_ex_dpf_flowerhang_04	plant		Cd ex dpf flowerhang	name	0		0	0	0
cd_ex_dpf_flowerpot_09	container	Collection_Prop_FlowerPot_0005	Red Rose Flower Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_09a	container	Collection_Prop_FlowerPot_0006	Yellow Rose Flower Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_10	container	Collection_Prop_FlowerPot_0007	Alocasia Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_11	container	Collection_Prop_FlowerPot_0008	Colorful Gerbera Pot	tag	0		0	0	0
