character_key	string_key	name	item_row	item_class
30048	Animal_Bear_Wild_30048	Bear	-1	animal
30191	Animal_Domestic_Bear_Domestic_30191	Bear	-1	animal
30111	Animal_Grizzly_Bear_Wild_30111	Grizzly Bear	-1	animal
30108	Animal_Black_Bear_Wild_30108	Black Bear	-1	animal
30116	Animal_Ride_Bear_Wild_30116	Bear	-1	animal
1000022	Animal_Trained_Bear_59006	Captured Bear	-1	animal
31153	Animal_Baby_Bear_Wild_31153	Bear Cub	-1	animal
31154	Animal_Baby_Black_Bear_Wild_31154	Black Bear Cub	-1	animal
31155	Animal_Baby_White_Bear_Wild_31155	White Bear Cub	-1	animal
31156	Animal_Baby_Gray_Bear_Wild_31156	Grizzly Bear Cub	-1	animal
30018	Animal_Wolf_Wild_30018	Wolf	-1	animal
30033	Animal_White_Wolf_Wild_30033	White Wolf	-1	animal
1000023	Animal_Trained_Wolf_59004	Captured Wolf	-1	animal
1000538	Animal_Wolf_Summon	Summon - Wolf	-1	animal
1002302	Animal_Wolf_Clone	Wolf Clone	-1	animal
1000392	Animal_LegendWolf_Summon	Summon - Legendary Wolf	-1	animal
1001009	Animal_Wolf_Wild_30019	Large Wolf	-1	animal
1003995	Animal_Wolf_Wild_30020	Large Wolf	-1	animal
1003996	Animal_Wolf_Wild_30021	Large Wolf	-1	animal
1003997	Animal_Wolf_Wild_30022	Large Wolf	-1	animal
1003998	Animal_Wolf_Wild_30023	Large Wolf	-1	animal
1003999	Animal_Wolf_Wild_30024	Large Wolf	-1	animal
1004000	Animal_Wolf_Wild_30025	Large Wolf	-1	animal
1004001	Animal_Wolf_Wild_30026	Large Wolf	-1	animal
1004002	Animal_Wolf_Wild_30027	Large Wolf	-1	animal
1004003	Animal_Wolf_Wild_30028	Large Wolf	-1	animal
1004004	Animal_Wolf_Wild_30029	Large Wolf	-1	animal
1004005	Animal_Wolf_Wild_30030	Large Wolf	-1	animal
1004006	Animal_Wolf_Wild_30031	Large Wolf	-1	animal
1004007	Animal_Wolf_Wild_30032	Large Wolf	-1	animal
1004008	Animal_Wolf_Wild_30033	Large Wolf	-1	animal
1004009	Animal_Wolf_Wild_30034	Large Wolf	-1	animal
1003769	Animal_White_Wolf_Wild_30034	Large White Wolf	-1	animal
