# Texto do menu do Master Looter em Português do Brasil (pt-BR). Tradução e
# revisão por Kyo-70.
#
# As linhas acrescentadas depois da tradução inicial também foram revisadas
# e harmonizadas com a terminologia brasileira do jogo.
# Correções são bem-vindas no GitHub
# (github.com/shin2344234/master-looter) ou na página do mod no Nexus.
#
# Uma linha por texto: o original em inglês, uma tabulação e a tradução.
# Linhas iniciadas por # são ignoradas, \n representa uma quebra de linha e
# uma linha sem tradução após a tabulação continua sendo exibida em inglês.
# Todo %d, %s, %.1f e demais marcadores deve permanecer na mesma ordem, pois
# seus valores são inseridos durante a execução. Linhas que alteram esses
# marcadores são ignoradas ao carregar para evitar valores incorretos.
#
# Esta cópia é incorporada ao plugin. Para alterá-la sem recompilar, coloque
# um arquivo com este nome ao lado de MasterLooter.asi.

  bag full	  bolsa cheia
 (first 250)	 (os 250 primeiros)
%-18s %s (%zu hits)%s	%-18s %s (%zu acertos)%s
%d classes	%d classes
%d items, %d classes, %d tags	%d itens, %d classes, %d etiquetas
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d linha(s) foi(ram) ignorada(s): os marcadores %%d ou %%s não correspondem ao original em inglês e seu uso exibiria valores incorretos.
%d matches%s	%d resultados%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d tipos de ponto foram identificados nesta sessão. Os pontos recebem o nome do prefab usado para posicioná-los; o que não estiver nessa tabela será identificado na primeira vez que produzir algo. O número de tipo de um ponto muda entre sessões, portanto nada é lembrado após você sair.
%d objects within scan range, %d lootable now.	%d objetos dentro do alcance da varredura, %d disponíveis para saque agora.
%d overrides	%d substituições
%s (key %u, row %d, tier %d)	%s (chave %u, linha %d, nível %d)
%s (never looted)	%s (nunca saqueado)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s é uma tradução automática que ainda não passou por revisão. Correções são bem-vindas no GitHub ou na página do Nexus.
%s translated by %s.	%s traduzido por %s.
%s, let go to keep it	%s, solte para manter
1 match%s	1 resultado%s
3 of 3	3 de 3
\"%s\" already exists. Saving over it asks first.	\"%s\" já existe. Será solicitada uma confirmação antes de sobrescrevê-lo.
