row	key	string_key	name	class	tags	tier	value_copper
0	2200	Pyeonjeon_Arrow	Stub Arrow	arrow	ammo arrow stackable tier-0 use-immediately	0	5
1	50001	Arrow	Arrow	arrow	ammo arrow stackable tier-0 use-immediately	0	2
2	1002557	Quiver	Replenishing Arrows	arrow	ammo arrow no-discard no-sell stackable tier-0 use-immediately	0	1
3	50003	Poison_Arrow	Poison Arrow	arrow	ammo arrow stackable tier-0 use-immediately	0	10
4	1000070	Sleep_Arrow	Sleep Arrow	arrow	ammo arrow stackable tier-0 use-immediately	0	15
5	50011	Hyosi_Arrow	Whistling Arrow	arrow	ammo arrow no-sell stackable tier-0 use-immediately	0	1
6	1001321	Bomb_Arrow	Explosive Arrow	arrow	ammo arrow stackable tier-0 use-immediately	0	300
7	1001316	Fire_Arrow	Fire Arrow	arrow	arrow goods npc-only stackable tier-0 use-immediately	0	2
8	1001315	Lightning_Arrow	Blitz Arrow	arrow	arrow goods npc-only stackable tier-0 use-immediately	0	2
9	1001314	Ice_Arrow	Chill Arrow	arrow	arrow goods npc-only stackable tier-0 use-immediately	0	2
10	50057	MultiArrow	Bundle of Arrows	ammo-bundle	ammo ammo-bundle arrow stackable tier-0 use-immediately	0	50
11	1000224	MultiArrow_Package_Small	Bundle of Arrows	ammo-bundle	ammo ammo-bundle arrow stackable tier-0 use-immediately	0	15
12	1000026	MultiBullet	Bundle of Bullets	ammo-bundle	ammo ammo-bundle bullet stackable tier-0 use-immediately	0	50
13	1003653	MultiBullet_Package_Small	Bundle of Bullets	ammo-bundle	ammo ammo-bundle bullet stackable tier-0 use-immediately	0	25
14	1000063	MultiCannonBall	Bundle of Cannonballs	ammo-bundle	ammo ammo-bundle cannonball stackable tier-0 use-immediately	0	130
15	1003654	MultiCannonBall_Package_Small	Bundle of Cannonballs	ammo-bundle	ammo ammo-bundle cannonball stackable tier-0 use-immediately	0	65
16	1000692	CannonBall	Small Cannonball	cannonball	ammo cannonball stackable tier-0 use-immediately	0	15
17	1003752	Continuous_Supply_CannonBall	Replenishing Cannonballs	cannonball	ammo cannonball no-discard no-sell stackable tier-0 use-immediately	0	1
18	1001773	Marni_Special_CannonBall	Disruptor Cannonball	cannonball	ammo cannonball stackable tier-0 use-immediately	0	15
19	1001884	BombSpider_CannonBall	Mine Spider Cannonball	cannonball	ammo cannonball stackable tier-0 use-immediately	0	15
20	1000017	Itano_CannonBall_Errant	Crude Itano Cannonball	cannonball	ammo cannonball stackable tier-0 use-immediately	0	15
21	1001935	Itano_CannonBall	Itano Cannonball	cannonball	ammo cannonball stackable tier-0 use-immediately	0	15
22	1000018	Bismuth_CannonBall_Errant	Crude Bismuth Cannonball	cannonball	ammo cannonball stackable tier-0 use-immediately	0	15
23	1000372	Bullet	Bullet	bullet	ammo bullet stackable tier-0 use-immediately	0	3
24	1003753	Continuous_Supply_Bullet	Replenishing Bullets	bullet	ammo bullet no-discard no-sell stackable tier-0 use-immediately	0	1
25	1001320	Shotgun_Bullet	Buckshot Bullet	bullet	ammo bullet stackable tier-0 use-immediately	0	3
26	1002125	Silver_Bullet	Silver Bullet	bullet	ammo bullet stackable tier-0 use-immediately	0	3
27	1001805	Fire_Bomb	Bomb	explosive	ammo buff explosive stackable tier-0	0	50
28	1001815	Crow_Bomb	Crow Bomb	explosive	ammo buff explosive stackable tier-0	0	50
29	1001819	Pervin_Bomb	Perwin Explosive	explosive	ammo buff explosive stackable tier-0	0	50
30	1001841	Brimstone_Bomb	Brimstone Bomb	explosive	ammo buff explosive stackable tier-0	0	50
31	1001842	Water_Bomb	Water Bomb	explosive	ammo buff explosive stackable tier-0	0	50
32	1001844	Vine_Bomb	Vine Bomb	explosive	ammo buff explosive stackable tier-0	0	50
33	1000877	Smoke_Bomb	Smoke Bomb	explosive	ammo buff explosive stackable tier-0	0	50
34	1000880	Caltrop_Bomb	Caltrop Explosive	explosive	ammo buff explosive stackable tier-0	0	50
35	1001934	Trap_Bomb	Trap Bomb	explosive	ammo buff explosive stackable tier-0	0	50
36	1000876	Titan_Spear	Titan's Spear	explosive	ammo buff explosive stackable tier-0	0	50
37	1002772	CircusMachine_Sphere	Circus Machine Sphere	explosive	ammo buff explosive stackable tier-0	0	50
38	1004838	Small_Fire_Bomb	Small Explosive	explosive	ammo buff explosive stackable tier-0	0	50
39	1001845	Dart	Dart	ammo	ammo tier-0	0	7
40	1001862	MagicBullet	Magic Bullet	magic-bullet	ammo magic-bullet tier-0	0	10
41	1000152	MagicBullet_Fire	Fire Magic Bullet	magic-bullet	ammo magic-bullet tier-0	0	10
42	1000153	MagicBullet_Water	Water Magic Bullet	magic-bullet	ammo magic-bullet tier-0	0	10
43	1000399	MagicBullet_Ice	Ice Magic Bullet	magic-bullet	ammo magic-bullet tier-0	0	10
44	1000482	MagicBullet_Dark_IceSpear	Dark Ice Spear Magic Bullet	magic-bullet	ammo magic-bullet tier-0	0	10
45	1000416	MagicBullet_DarkBall	Dark Magic Bullet	magic-bullet	ammo magic-bullet tier-0	0	10
46	1000429	MagicBullet_Electric	Lightning Magic Bullet	magic-bullet	ammo magic-bullet tier-0	0	10
47	1001937	MagicBullet_LightFist	Light Fist Magic Bullet	magic-bullet	ammo magic-bullet tier-0	0	10
48	1001939	MagicBullet_Snow	Snow Magic Bullet	magic-bullet	ammo magic-bullet tier-0	0	10
49	52006	Goblin_Pot	Goldleaf Censer	explosive	ammo explosive tier-0	0	15
50	52007	Oil_Barrel	Oil Canister	explosive	ammo explosive tier-0	0	30
51	1000123	InstallationBomb	Deployable Explosive	explosive	ammo explosive no-sell tier-0	0	1
52	1000803	Bomb_Smoke	Smoke Bomb	explosive	ammo explosive stackable tier-0	0	70
53	53032	BattleStickyBomb	Sticky Bomb	explosive	ammo explosive no-sell stackable tier-0	0	1
54	1000089	BattleSticky_FlowerBomb	Sticky Flower Bomb	explosive	ammo explosive no-sell stackable tier-0	0	1
55	53034	TimeBomb	Time Bomb	explosive	ammo explosive no-sell stackable tier-0	0	1
56	1000522	ShinyStone_02	Shiny Rock	ammo	ammo no-sell tier-0	0	1
57	1002141	NoticePaper_Her_LostCow	Missing Cows	poster	document poster quest tier-0 wild	0	27
58	1002147	NoticePaper_Her_StolenGoatHorn	Horn Thief	poster	document poster quest tier-0 wild	0	27
59	1002148	NoticePaper_Her_FindSheep	Missing Wooly	poster	document poster quest tier-0 wild	0	27
60	1002406	NoticePaper_Her_CaveSound	Strange Noises from the Cave	poster	document poster quest tier-0 wild	0	27
61	1001304	Quest_Paper_Circus3	Circus Invitation	poster	document poster quest tier-0 wild	0	27
62	802364	NoticePaper_Circus_DontMissIt	Invitation to the Demeniss Circus	poster	document poster quest tier-0 wild	0	27
63	802365	NoticePaper_Circus_ComeRightNow	Invitation to the Demeniss Circus	poster	document poster quest tier-0 wild	0	27
64	802366	NoticePaper_Circus_Chairless	Invitation to the Demeniss Circus	poster	document poster quest tier-0 wild	0	27
65	802286	NoticePaper_ArmWrestle	Recruiting Arm Wrestlers	poster	document poster quest tier-0 wild	0	27
66	1004363	Quest_Paper_Lumberjack_Testimony	Lumberjacks' Witness Report	poster	document poster quest tier-0 wild	0	27
67	1002288	Quest_Faction_Start_LongLeafForest	Warning of Longleaf Forest Entry	poster	document poster quest tier-0 wild	0	27
68	1001791	NoticePaper_Finale_WhiteHorn	News of White Horn's Defeat	poster	document poster quest tier-0 wild	0	27
69	1001792	NoticePaper_Finale_Muscan	News of the Bonepit	poster	document poster quest tier-0 wild	0	27
70	1001793	NoticePaper_Finale_DarkKing	News of Beloth, the Darksworn's Defeat	poster	document poster quest tier-0 wild	0	27
71	1001795	NoticePaper_Finale_SkullKnight	News of Skull Knight's Demise	poster	document poster quest tier-0 wild	0	27
72	1001796	NoticePaper_Finale_GoblinSandfang	News of the Sandfang Marauders' Defeat	poster	document poster quest tier-0 wild	0	27
73	1001797	NoticePaper_Finale_HyenabossSkevald	News of Skevald the Carrion King's Defeat	poster	document poster quest tier-0 wild	0	27
