# A Master Looter menü szövege magyarul. Ez egy gépi fordítás, és eddig még
# nem nézte át anyanyelvi beszélő. A javításokat szívesen fogadjuk a GitHubon
# (github.com/shin2344234/master-looter) vagy a mod Nexus oldalán.
#
# Soronként egy szöveg: az angol eredeti, egy tabulátor, majd a
# fordítás. A \n egy sortörést jelent. A # karakterrel kezdődő sorok
# figyelmen kívül maradnak. Egy sor, amiben a tabulátor után nincs
# semmi, angolul marad, így egy félkész fájl is tökéletesen
# használható. Minden %d, %s és hasonló jelölőt pontosan úgy kell
# megtartani, ahogy szerepel, mert futás közben ezek helyére kerülnek
# a valódi számok és nevek.
#
# Mentsd MasterLooter.<nyelv>.txt néven a plugin mellé, például
# MasterLooter.hu.txt, majd állítsd be Language=hu értékkel a
# MasterLooter.ini fájlban, vagy írd be a nyelvet az Általános fülön a
# Nyelv mezőbe. Egy ilyen nevű fájl a MasterLooter.asi mellett
# felülírja a pluginba beépített másolatot.

  bag full	  táska tele
 (first 250)	 (első 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu találat)%s
%d classes	%d kategória
%d items, %d classes, %d tags	%d tárgy, %d kategória, %d címke
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d sor lett figyelmen kívül hagyva: a bennük lévő %%d vagy %%s helyőrzők nem egyeztek az angol szöveggel, használatuk hibás értékeket írna ki.
%d matches%s	%d találat%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d pont típusát ismertük fel ebben a munkamenetben. A pontok nevét az a prefab adja, amelyből létrehozták őket; amit ez a tábla nem ismer, azt az első alkalommal azonosítjuk, amikor ad valamit. Egy pont típusszáma munkamenetenként változik, így kilépés után semmi nem marad megjegyezve.
%d objects within scan range, %d lootable now.	%d tárgy van a pásztázási hatótávon belül, ebből %d lootolható most.
%d overrides	%d felülbírálás
%s (key %u, row %d, tier %d)	%s (kulcs: %u, sor: %d, szint: %d)
%s (never looted)	%s (soha nem lootolt)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	A(z) %s egy gépi fordítás, amelyet még senki nem ellenőrzött. A javításokat szívesen fogadjuk a GitHubon vagy a Nexus oldalon.
%s translated by %s.	%s, fordította: %s.
%s, let go to keep it	%s, engedd el a megtartáshoz
1 match%s	1 találat%s
3 of 3	3/3
\"%s\" already exists. Saving over it asks first.	\"%s\" már létezik. Felülírás előtt megerősítést kérünk.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	A kútvödröt és a hasonlókat sosem lootoljuk, de ha aktiválod, a játék felajánlja az interakciót, hogy kézzel használhasd.
Abyss and Kuku	Abyss és Kuku
Abyss gear, Kuku pots and their parts.	Abyss felszerelés, Kuku edények és alkatrészeik.
Accessories	Kiegészítők
allowed	engedélyezett
always	mindig
always beats the class rule; never beats always	a „mindig” felülírja a kategória szabályát; a „soha” felülírja a „mindig”-et
Ammunition	Lőszer
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Minden, ami küldetés címkét visel, bármely kategóriában. Kikapcsolva a történethez tartozó tárgyakat és rejtvénydarabokat neked hagyja, hogy magad vedd fel.
Arm mechanism containers too	Mechanizmus-tárolók aktiválása is
Arm nodes ourselves	Pontok automatikus aktiválása
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Az aktiválás nem törődik a falakkal. Tartsd alacsonyan, különben a szomszéd szoba falán át is gyűjteni fogsz. Az érc kivétel, és mindig eléri akár 25 méterről is, mert egy ércér másodpercekig tart, amíg válaszol, és ha csak akkor kérdezed meg, amikor már ott állsz, túl későn nyílik ki ahhoz, hogy hasznodra legyen.
Arming range	Aktiválási hatótáv
Auto-loot enabled	Automatikus lootolás bekapcsolva
Auto-loot on / off	Automatikus lootolás be / ki
Backups	Biztonsági mentések
blank for English	üresen hagyva angol marad
Books and papers	Könyvek és iratok
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Főellenség-jutalmak, ereklyék, emléktárgyak, pénzeszsákok és jutalomládák.
Break veins open rather than emptying them	Ércerek feltörése ürítés helyett
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	A feltörés a játék saját állapotgépét vezérli az ércérnél: előbb a csapás becsapódását, majd a törést, így a pont kiszórja a tartalmát a földre, és pontosan úgy tűnik el, mint egy csákány alatt. Az ürítés ehelyett egyenesen kiemeli az ércet, és teljesen kihagyja az ejtést. Egyik út sem fizeti ki a szerszámod Bányászati hozam növelését, amit a játék csak a saját csapásnak számító ütésnek ad, ezért állítsd be alább a pluszt a különbség pótlására. Minden ércér egyszer kap csapást, aztán békén hagyjuk, amíg a játék újra nem tölti.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Pillangók, bogarak, szitakötők, méhek, pókok, skorpiók, csigák és más apró élőlények, amiket a játék rovarként tart nyilván. A fajok a lényadatbázisból származnak; egy lényt, amit a tábla nem tud megnevezni, csak akkor fogunk be, ha minden olyan kategória be van kapcsolva, amelybe tartozhat (egy repülő lehet hal, rovar vagy madár is).
captured	rögzítve
Carcasses	Tetemek
Carcasses and bodies	Tetemek és holttestek
Bodies	Holttestek
carcasses off	tetemek kikapcsolva
bodies off	holttestek ki
Catching	Fogás
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Elfogott lények, élve vagy heverve; egy lény, amit a tábla meg tud nevezni, a saját kategóriaszabályát követi. A rákok, garnélák és tintahalak az Étel és ital alatt tenger gyümölcseiként szerepelnek.
Class	Kategória
class %s	kategória: %s
Classes	Kategóriák
Clear	Törlés
Clear overrides	Felülbírálások törlése
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Törli, amit ez a munkamenet a táskádból kikövetkeztetett. A prefab tábla által megnevezett pontokat nem érinti.
Close	Bezárás
container (off)	tároló (kikapcsolva)
Containers	Tárolók
containers off	tárolók kikapcsolva
Controller	Kontroller
Copper	Réz
Copy	Másolás
Copy path	Elérési út másolása
Copy to the clipboard.	Másolás a vágólapra.
corpse	holttest
corpse already searched	a holttestet már átkutattad
corpse: loot drops separately	holttest: a zsákmány külön esik ki
creature	lény
Creatures	Lények
Crops	Termények
crops off	termények kikapcsolva
Damaged gear	Sérült felszerelés
Dead zone around you	Holtzóna körülötted
Decision	Döntés
default	alapértelmezett
DirectX 12 hooks	DirectX 12 hookok
does not respond	nem válaszol
Draw water from wells	Víz húzása kutakból
Engine	Motor
English	Angol
English. %d line(s) seen this session.	Angol. %d sort látott ez a munkamenet.
entity	entity
entity %08X	entity %08X
entity %08X, %d items across every store	entity %08X, %d tárgy az összes tárolóban
entity %08X, bag %d of %d slots, %d items across every store	entity %08X, táska %d/%d hely, %d tárgy az összes tárolóban
Event descriptors	Eseménydeszkriptorok
