# Văn bản menu của Master Looter bằng tiếng Việt. Đây là bản dịch máy; chưa có
# người nói tiếng Việt bản ngữ nào kiểm tra lại bản dịch này. Góp ý sửa lỗi
# xin gửi trên GitHub (github.com/shin2344234/master-looter) hoặc trên trang
# Nexus của mod.
#
# Mỗi dòng gồm một chuỗi: bản gốc tiếng Anh, một dấu tab, rồi đến bản dịch.
# Dòng bắt đầu bằng # bị bỏ qua. \n là một dấu xuống dòng. Một dòng không có
# phần dịch sau dấu tab sẽ tiếp tục hiển thị bằng tiếng Anh, nên một tệp
# dịch dở vẫn dùng được bình thường. Giữ nguyên mọi ký hiệu %d, %s, %.1f và
# tương tự, đúng thứ tự như trong bản gốc: chúng được thay bằng số và tên
# lúc trò chơi đang chạy.
#
# Lưu tệp này với tên MasterLooter.vi.txt cạnh MasterLooter.asi để nó ghi
# đè lên bản dịch có sẵn trong plugin.

  bag full	  túi đồ đầy
 (first 250)	 (250 đầu tiên)
%-18s %s (%zu hits)%s	%-18s %s (%zu lần khớp)%s
%d classes	%d loại
%d items, %d classes, %d tags	%d vật phẩm, %d loại, %d thẻ
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d dòng đã bị bỏ qua: các ký hiệu %%d hoặc %%s của dòng đó không khớp với bản tiếng Anh, dùng chúng sẽ in ra sai giá trị.
%d matches%s	%d kết quả khớp%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d loại điểm đã được xác định trong phiên này. Điểm được đặt tên theo prefab đã tạo ra nó; điều gì bảng đó không có sẽ được nhận diện ngay lần đầu nó cho ra thứ gì đó. Số hiệu loại của một điểm thay đổi giữa các phiên chơi, nên không có gì được ghi nhớ sau khi bạn thoát.
%d objects within scan range, %d lootable now.	%d vật thể trong tầm quét, %d có thể loot ngay bây giờ.
%d overrides	%d ghi đè
%s (key %u, row %d, tier %d)	%s (mã %u, hàng %d, cấp %d)
%s (never looted)	%s (chưa bao giờ được loot)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s là bản dịch máy chưa có ai kiểm tra lại. Góp ý sửa lỗi xin gửi trên GitHub hoặc trang Nexus.
%s translated by %s.	%s do %s dịch.
%s, let go to keep it	%s, thả ra để giữ lại
1 match%s	1 kết quả khớp%s
3 of 3	3 trong 3
\"%s\" already exists. Saving over it asks first.	\"%s\" đã tồn tại. Ghi đè lên sẽ được hỏi xác nhận trước.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Xô giếng và những thứ tương tự không bao giờ bị loot, nhưng kích hoạt nó khiến trò chơi hiện ra tương tác để bạn tự tay dùng nó.
Abyss and Kuku	Abyss và Kuku
Abyss gear, Kuku pots and their parts.	Trang bị Abyss, bình Kuku và các bộ phận của chúng.
Accessories	Phụ kiện
allowed	được phép
always	luôn
always beats the class rule; never beats always	“luôn” thắng quy tắc theo loại; “không bao giờ” thắng “luôn”
Ammunition	Đạn dược
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Bất cứ thứ gì gắn thẻ nhiệm vụ, ở mọi loại. Tắt sẽ giữ lại các vật phẩm cốt truyện và mảnh ghép câu đố để bạn tự tay nhặt.
Arm mechanism containers too	Kích hoạt cả vật chứa thuộc cơ cấu
Arm nodes ourselves	Tự kích hoạt điểm
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Kích hoạt xuyên qua tường. Hãy để phạm vi ngắn, nếu không bạn sẽ thu thập xuyên qua tường phòng bên cạnh. Quặng là ngoại lệ và luôn được vươn tới ở khoảng cách lên đến 25 m, vì một vỉa quặng mất vài giây để phản hồi, và nếu chỉ hỏi khi bạn đã đứng ngay trên nó thì nó mở ra quá muộn để còn hữu ích.
Arming range	Phạm vi kích hoạt
Auto-loot enabled	Tự động loot đang bật
Auto-loot on / off	Bật/tắt tự động loot
Backups	Sao lưu
blank for English	để trống để dùng tiếng Anh
Books and papers	Sách và giấy tờ
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Phần thưởng trùm, cổ vật, vật phẩm ký ức, túi tiền xu và rương phần thưởng.
Break veins open rather than emptying them	Đập vỡ vỉa quặng thay vì rút cạn chúng
