# Текст меню Master Looter українською (uk). Це машинний переклад; жоден носій
# мови ще його не перевіряв. Виправлення вітаються на GitHub
# (github.com/shin2344234/master-looter) або на сторінці мода на Nexus.
#
# Один рядок на один текст: оригінал англійською, символ табуляції,
# потім переклад. Рядки, що починаються з #, ігноруються. \n означає
# розрив рядка. Якщо після табуляції нічого немає, рядок і далі
# показується англійською. Кожен %d, %s, %.1f та інший заповнювач має
# лишатися на тому самому місці і в тому самому порядку: під час
# виконання в нього підставляються числа та назви, і рядок, що змінює
# порядок заповнювачів, під час завантаження ігнорується.
#
# Файл із такою назвою поруч із MasterLooter.asi замінює вбудовану
# копію цього тексту.

  bag full	  сумка повна
 (first 250)	 (перші 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu збігів)%s
%d classes	%d класів
%d items, %d classes, %d tags	%d предметів, %d класів, %d тегів
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	Проігноровано %d рядок(-и): їхні заповнювачі %%d або %%s не збігалися з англійським текстом, тому їх використання вивело б неправильні значення.
%d matches%s	%d збігів%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d типів точок вивчено цієї сесії. Точки називаються за префабом, з якого їх розміщено; усе, чого немає в цій таблиці, визначається першого разу, коли воно щось видає. Номер типу точки змінюється між сесіями, тому після виходу нічого не запам'ятовується.
%d objects within scan range, %d lootable now.	%d об'єктів у радіусі сканування, %d можна забрати зараз.
%d overrides	%d перевизначень
%s (key %u, row %d, tier %d)	%s (клавіша %u, рядок %d, рівень %d)
%s (never looted)	%s (ніколи не лутали)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s — це машинний переклад, який ще ніхто не перевіряв. Виправлення вітаються на GitHub або на сторінці Nexus.
%s translated by %s.	%s: переклад %s.
%s, let go to keep it	%s, відпустіть, щоб зберегти
1 match%s	1 збіг%s
3 of 3	3 з 3
\"%s\" already exists. Saving over it asks first.	\"%s\" вже існує. Перед перезаписом буде запит на підтвердження.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Відро колодязя та подібні об'єкти ніколи не лутаються, але активація такого об'єкта змушує гру запропонувати взаємодію, щоб ви могли скористатися ним вручну.
Abyss and Kuku	Abyss і Kuku
Abyss gear, Kuku pots and their parts.	Спорядження Abyss, горщики Kuku та їхні частини.
Accessories	Аксесуари
allowed	дозволено
always	завжди
always beats the class rule; never beats always	«завжди» переважає правило класу; «ніколи» переважає «завжди»
Ammunition	Боєприпаси
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Усе, позначене тегом quest, у будь-якому класі. Вимкнено залишає сюжетні предмети та частини головоломок для ваших власних рук.
Arm mechanism containers too	Активувати також контейнери-механізми
Arm nodes ourselves	Активувати точки самостійно
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Активація ігнорує стіни. Тримайте невеликий радіус, інакше збиратимете крізь стіну сусідньої кімнати. Руда — виняток і завжди активується на відстані до 25 м, бо жила відповідає кілька секунд, а запит лише тоді, коли ви вже стоїте на ній, відкриє її занадто пізно, щоб мати сенс.
Arming range	Радіус активації
Auto-loot enabled	Автолут увімкнено
Auto-loot on / off	Автолут увімкнено/вимкнено
Backups	Резервні копії
blank for English	залиште порожнім для англійської
Books and papers	Книги та папери
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Нагороди за босів, артефакти, предмети пам'яті, гаманці з монетами та скрині з нагородами.
Break veins open rather than emptying them	Розбивати жили замість того, щоб спустошувати їх
