# Master Looter-menyteksten på norsk bokmål (nb). Dette er en
# maskinoversettelse. Ingen som har norsk som morsmål har korrekturlest den
# ennå. Rettelser mottas gjerne på GitHub
# (github.com/shin2344234/master-looter) eller på moddens Nexus-side.
#
# Én linje per tekst: originalen på engelsk, en tabulator, så
# oversettelsen. \n er et linjeskift: behold samme antall som i
# originalen. En linje uten oversettelse etter tabulatoren vises
# fortsatt på engelsk, så en delvis ferdig fil fungerer fint.
# Behold hver %d, %s, %.1f og lignende plassholder nøyaktig som den
# står og i samme rekkefølge: de erstattes med tall og navn når
# spillet kjører, og en linje som endrer dem blir ignorert.
#
# Lagre filen som MasterLooter.<språk>.txt ved siden av
# MasterLooter.asi, for eksempel MasterLooter.nb.txt, og sett
# Language=nb i MasterLooter.ini, eller skriv inn språket under
# Generelt, Språk. En fil med dette navnet der overstyrer den
# innebygde kopien i pluginen.

  bag full	  sekken full
 (first 250)	 (de første 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu treff)%s
%d classes	%d klasser
%d items, %d classes, %d tags	%d gjenstander, %d klasser, %d tagger
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d linje(r) ble ignorert: plassholderne %%d eller %%s stemte ikke med den engelske teksten, og å bruke dem ville vist feil verdier.
%d matches%s	%d treff%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d punkttyper lært denne økten. Punkter navngis etter prefaben de ble plassert fra; alt tabellen mangler blir identifisert første gang det gir noe. Et punkts typenummer endres mellom økter, så ingenting huskes etter at du avslutter.
%d objects within scan range, %d lootable now.	%d objekter innenfor skanneområdet, %d kan lootes nå.
%d overrides	%d overstyringer
%s (key %u, row %d, tier %d)	%s (nøkkel %u, rad %d, nivå %d)
%s (never looted)	%s (aldri lootet)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s er en maskinoversettelse som ingen har sjekket ennå. Rettelser mottas gjerne på GitHub eller Nexus-siden.
%s translated by %s.	%s oversatt av %s.
%s, let go to keep it	%s, slipp for å beholde den
1 match%s	1 treff%s
3 of 3	3 av 3
\"%s\" already exists. Saving over it asks first.	\"%s\" finnes allerede. Du blir spurt før den overskrives.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	En brønnbøtte og lignende blir aldri lootet, men å klargjøre en får spillet til å tilby sin interaksjon slik at du kan bruke den for hånd.
Abyss and Kuku	Abyss and Kuku
Abyss gear, Kuku pots and their parts.	Abyss-utstyr, Kuku-krukker og delene deres.
Accessories	Tilbehør
allowed	tillatt
always	alltid
always beats the class rule; never beats always	alltid overstyrer klasseregelen; aldri overstyrer alltid
Ammunition	Ammunisjon
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Alt merket quest, i alle klasser. Av lar historiegjenstander og puslespillbiter være til dine egne hender.
Arm mechanism containers too	Klargjør også mekanismebeholdere
Arm nodes ourselves	Klargjør punkter selv
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Klargjøring ignorerer vegger. Hold den kort, ellers sanker du gjennom veggen til neste rom. Malm er unntaket og nås alltid opptil 25 m unna, fordi en åre bruker sekunder på å svare, og å spørre først når du står oppå den betyr at den åpner seg for sent til å være til nytte.
Arming range	Klargjøringsavstand
Auto-loot enabled	Autoloot aktivert
Auto-loot on / off	Autoloot på/av
Backups	Sikkerhetskopier
blank for English	tom for engelsk
Books and papers	Bøker og papirer
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Sjefsbelønninger, artefakter, minnegjenstander, myntposer og belønningskister.
Break veins open rather than emptying them	Bryt opp årer i stedet for å tømme dem
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Å bryte opp åren kjører spillets egen tilstandsmaskin ved åren: slaget treffer, så følger bruddet, slik at punktet spruter innholdet ut på bakken og forsvinner akkurat som under en hakke. Å tømme løfter i stedet malmen rett ut og hopper helt over droppet. Ingen av metodene gir verktøyets Mining Yield Up, som spillet bare gir for et slag det regner som ditt, så sett ekstraen under for å ta igjen forskjellen. Hver åre brytes én gang og blir så stående til spillet gjenoppretter den.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Sommerfugler, biller, øyenstikkere, bier, edderkopper, skorpioner, snegler og de andre småtingene spillet fører som insekter. Arten kommer fra skapningstabellen; en skapning tabellen ikke kan navngi blir bare fanget når alle kategoriene den kan tilhøre er på (noe flygende kan være en fisk, et insekt eller en fugl).
captured	fanget opp
Carcasses	Kadavre
Carcasses and bodies	Kadavre og lik
Bodies	Lik
carcasses off	kadavre av
bodies off	lik av
Catching	Fangst
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Fangede skapninger, levende eller liggende rundt omkring; en skapning tabellen kan navngi følger sin klasseregel. Krabber, reker og blekksprut er sjømat under Mat og drikke.
Class	Klasse
class %s	klasse %s
Classes	Klasser
Clear	Tøm
Clear overrides	Tøm overstyringer
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Tømmer det denne økten har funnet ut fra sekken din. Punkter navngitt av prefab-tabellen påvirkes ikke.
Close	Lukk
container (off)	beholder (av)
Containers	Beholdere
containers off	beholdere av
Controller	Kontroller
Copper	Kobber
Copy	Kopier
Copy path	Kopier sti
Copy to the clipboard.	Kopier til utklippstavlen.
corpse	lik
corpse already searched	liket er allerede ransaket
corpse: loot drops separately	lik: loot slippes separat
creature	skapning
Creatures	Skapninger
Crops	Avlinger
crops off	avlinger av
Damaged gear	Skadet utstyr
Dead zone around you	Dødsone rundt deg
Decision	Beslutning
default	standard
DirectX 12 hooks	DirectX 12-hooker
does not respond	svarer ikke
Draw water from wells	Hent vann fra brønner
Engine	Motor
English	Engelsk
English. %d line(s) seen this session.	Engelsk. %d linje(r) sett denne økten.
entity	entity
entity %08X	entity %08X
entity %08X, %d items across every store	entity %08X, %d gjenstander i alle lagre
entity %08X, bag %d of %d slots, %d items across every store	entity %08X, sekk %d av %d plasser, %d gjenstander i alle lagre
Event descriptors	Hendelsesdeskriptorer
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	Enhver stein: malm- og steinbiter på bakken, årer, steinblokker, grushauger og bruddstein. En åre brytes der den står, og innholdet plukkes opp fra bakken, akkurat det hakken din gjør og det som gjør en bedre hakke verdt å bære: verktøyets bonus for gruveutbytte gjelder det som faller, ikke punktet. Hver åre treffes én gang og lates så i fred til spillet henter den tilbake. Rekkevidden for årer begynner så langt ute som skanningen ser, for de bruker sekunder på å svare der en busk bruker en brøkdel.\n\nStein hadde en gang sin egen bryter, og delingen holdt aldri: spillet fører det meste av bruddsteinen under gruvedrift, så å slå av Stein lot den komme inn likevel. For å beholde malmen og la steinen ligge, avvis klassen stone under fanen Klasser. Det dekker Stein, Fin stein, Feilfri stein og Dryppstein, og enhver klippe som spillet sier ikke inneholder noe annet, blir da stående, gruvesteinene og dryppsteinene medregnet. En åre som også inneholder malm eller en edelstein, brytes fortsatt, for å avvise steinen er ikke å avvise det som ligger ved siden av. Der spillet ikke beskriver et punkt i det hele tatt, kreves det at malm, edelstener og stein alle er avvist før akkurat det hoppes over.
Extra ore per vein	Ekstra malm per åre
failed	mislyktes
fast-travel artifact	hurtigreiseartefakt
filter classes	filtrer klasser
filter tags	filtrer tagger
Filters	Filtre
Fish	Fisk
fish off	fisk av
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Fisk, og alt annet du fanger i vannet: krabber, reker, blekksprut, sjøstjerner og sjøhester.
Food and drink	Mat og drikke
Forget	Glem
found	funnet
Furniture	Møbler
Furniture and decor	Møbler og dekor
furniture node (off)	møbelpunkt (av)
furniture off	møbler av
Game functions	Spillfunksjoner
Game functions did not resolve; see Status.	Spillfunksjoner ble ikke funnet; se Status.
Game-thread pump	Spilltrådpumpe
gather node	sankepunkt
Gathering	Sanking
General	Generelt
Ground items	Gjenstander på bakken
Groups	Grupper
