# Master Looter-menutekst in het Nederlands (nl).
# Machinevertaling door Claude, een AI van Anthropic. Nog niet gecontroleerd
# door een moedertaalspreker. Correcties zijn welkom op GitHub
# (github.com/shin2344234/master-looter) of op de Nexus-pagina van de mod.
#
# Een tekst per regel: het Engelse origineel, een tab, dan de vertaling.
# Regels die met # beginnen worden genegeerd, \n staat voor een regeleinde,
# en een regel zonder vertaling na de tab blijft gewoon in het Engels staan.
# Elke %d, %s, %.1f en dergelijke plaatshouder moet exact behouden blijven
# en in dezelfde volgorde staan: ze worden tijdens het spelen vervangen door
# waarden, en een regel die ze verandert wordt bij het laden genegeerd.
#
# Sla dit bestand op als MasterLooter.nl.txt naast de plugin om de
# ingebouwde kopie te overschrijven.

  bag full	  tas vol
 (first 250)	 (eerste 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu treffers)%s
%d classes	%d klassen
%d items, %d classes, %d tags	%d items, %d klassen, %d labels
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d regel(s) genegeerd: hun %%d- of %%s-plaatshouders kwamen niet overeen met het Engels, en gebruik ervan zou de verkeerde waarden weergeven.
%d matches%s	%d resultaten%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d puntsoorten geleerd deze sessie. Punten worden genoemd naar het prefab waarmee ze geplaatst zijn; alles wat in die tabel ontbreekt, wordt geïdentificeerd zodra het voor het eerst iets oplevert. Het typenummer van een punt verandert tussen sessies, dus er wordt niets onthouden nadat je afsluit.
%d objects within scan range, %d lootable now.	%d objecten binnen scanbereik, %d nu te looten.
%d overrides	%d uitzonderingen
%s (key %u, row %d, tier %d)	%s (sleutel %u, rij %d, niveau %d)
%s (never looted)	%s (nooit geloot)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s is een machinevertaling die nog door niemand is gecontroleerd. Correcties zijn welkom op GitHub of de Nexus-pagina.
%s translated by %s.	%s vertaald door %s.
%s, let go to keep it	%s, laat los om te bevestigen
1 match%s	1 resultaat%s
3 of 3	3 van 3
\"%s\" already exists. Saving over it asks first.	\"%s\" bestaat al. Overschrijven vraagt eerst om bevestiging.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Een putemmer en dergelijke worden nooit geloot, maar door er een te activeren biedt het spel de interactie aan, zodat je hem zelf kunt gebruiken.
Abyss and Kuku	Abyss en Kuku
Abyss gear, Kuku pots and their parts.	Abyss-uitrusting, Kuku-potten en hun onderdelen.
Accessories	Accessoires
allowed	toegestaan
already in your bag	al in je tas
always	altijd
always beats the class rule; never beats always	altijd wint van de klasseregel; nooit wint van altijd
Ammunition	Munitie
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Alles met het label missie, in elke klasse. Uit houdt verhaalvoorwerpen en puzzelstukken voor je eigen handen.
Arm mechanism containers too	Ook mechanismecontainers activeren
Arm nodes ourselves	Punten zelf activeren
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Activeren negeert muren. Houd het bereik kort, anders verzamel je door de muur van de volgende kamer heen. Erts is de uitzondering en wordt altijd tot 25 m geactiveerd, omdat een ader seconden nodig heeft om te reageren; pas vragen zodra je erbovenop staat, betekent dat hij te laat opengaat om nog nuttig te zijn.
Arming range	Activeringsbereik
Auto-loot enabled	Automatisch looten ingeschakeld
Auto-loot on / off	Automatisch looten aan/uit
Backups	Back-ups
blank for English	leeg voor Engels
Books and papers	Boeken en papieren
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Boss-beloningen, artefacten, geheugenvoorwerpen, geldbuidels en beloningskisten.
Break veins open rather than emptying them	Aders openbreken in plaats van leegmaken
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Openbreken stuurt de eigen toestandsmachine van het spel bij de ader aan: eerst de zwaai die raakt, dan de breuk, zodat het punt zijn inhoud op de grond stort en verdwijnt zoals bij een pikhouweel. Leegmaken haalt het erts in plaats daarvan meteen eruit en slaat de drop volledig over. Geen van beide routes geeft de Mijnbouwopbrengst-bonus van je gereedschap, die het spel alleen toekent aan een zwaai die het als van jou beschouwt; stel daarom het extra bedrag hieronder in om het verschil goed te maken. Elke ader wordt één keer geraakt en daarna met rust gelaten tot het spel hem laat terugkeren.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Vlinders, kevers, libellen, bijen, spinnen, schorpioenen, slakken en de andere kleine dingen die het spel als insecten classificeert. Soorten komen uit de schepseltabel; een schepsel dat de tabel niet kan benoemen wordt alleen gevangen als elke categorie waartoe het zou kunnen behoren aan staat (een vlieger kan een vis, een insect of een vogel zijn).
captured	gevangen
Carcasses	Kadavers
carcasses off	kadavers uit
Catching	Vangen
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Gevangen schepsels, levend of rondliggend; een schepsel dat de tabel kan benoemen volgt zijn klasseregel. Krabben, garnalen en inktvis vallen onder zeevruchten bij Eten en drinken.
Chests, crates and drop-set nodes. They rarely respond to the loot event. Off by default.	Kisten, kratten en drop-set-punten. Ze reageren zelden op de lootgebeurtenis. Standaard uit.
Class	Klasse
class %s	klasse %s
Classes	Klassen
Clear	Wissen
Clear overrides	Uitzonderingen wissen
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Wist wat deze sessie uit je tas heeft afgeleid. Punten die door de prefabtabel worden benoemd, blijven ongewijzigd.
Close	Sluiten
container (off)	container (uit)
Containers	Containers
Controller	Controller
Copper	Koper
Copy	Kopiëren
Copy path	Pad kopiëren
