# Tekst menu Master Looter po polsku (pl).
#
# To jest tłumaczenie maszynowe. Nikt jeszcze nie sprawdził go pod
# kątem poprawności
# językowej jako native speaker. Poprawki są mile widziane na GitHubie
# (github.com/shin2344234/master-looter) albo na stronie moda na Nexusie.
#
# Jeden wpis na wiersz: oryginał po angielsku, tabulator, a potem tłumaczenie.
# Wiersze zaczynające się od # są pomijane, \n oznacza podział wiersza, a
# wiersz bez tłumaczenia po tabulatorze pozostaje wyświetlany po angielsku,
# więc plik nieukończony w połowie da się normalnie używać.
# Każdy %d, %s, %.1f i podobny znacznik musi zostać zachowany dokładnie i w
# tej samej kolejności: w czasie działania wstawiane są tam liczby i nazwy,
# a wiersz, który je zmienia, jest ignorowany przy wczytywaniu.
#
# Plik o tej nazwie umieszczony obok MasterLooter.asi zastępuje wbudowaną
# kopię.
  bag full	  torba pełna
 (first 250)	 (pierwsze 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu trafień)%s
%d classes	%d klas
%d items, %d classes, %d tags	%d przedmiotów, %d klas, %d etykiet
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d wiersz(y) zignorowano: znaczniki %%d lub %%s nie zgadzają się z oryginałem angielskim, a ich użycie wyświetliłoby błędne wartości.
%d matches%s	%d wyników%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d rodzajów punktów rozpoznanych w tej sesji. Punkty otrzymują nazwę na podstawie prefabu, z którego zostały umieszczone; to, czego nie ma w tej tabeli, zostaje rozpoznane, gdy po raz pierwszy coś wyda. Numer typu punktu zmienia się między sesjami, więc po wyjściu z gry nic nie jest zapamiętane.
%d objects within scan range, %d lootable now.	%d obiektów w zasięgu skanowania, %d do zdobycia teraz.
%d overrides	%d nadpisań
%s (key %u, row %d, tier %d)	%s (klucz %u, wiersz %d, poziom %d)
%s (never looted)	%s (nigdy nie zebrano)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s to tłumaczenie maszynowe, którego jeszcze nikt nie sprawdził. Poprawki są mile widziane na GitHubie lub na stronie Nexusa.
%s translated by %s.	%s, tłumaczenie: %s.
%s, let go to keep it	%s, puść, aby zachować
1 match%s	1 wynik%s
3 of 3	3 z 3
\"%s\" already exists. Saving over it asks first.	\"%s\" już istnieje. Nadpisanie wymaga potwierdzenia.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Wiadro studni i tym podobne nigdy nie są zbierane, ale aktywowanie takiego obiektu sprawia, że gra oferuje interakcję, dzięki czemu możesz go użyć ręcznie.
Abyss and Kuku	Abyss i Kuku
Abyss gear, Kuku pots and their parts.	Ekwipunek Abyss, dzbany Kuku i ich części.
Accessories	Akcesoria
allowed	dozwolone
always	zawsze
always beats the class rule; never beats always	„zawsze” bije regułę klasy; „nigdy” bije „zawsze”
Ammunition	Amunicja
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Wszystko oznaczone jako zadaniowe, niezależnie od klasy. Wyłączenie zostawia przedmioty fabularne i elementy łamigłówek do zebrania ręcznie.
Arm mechanism containers too	Aktywuj też mechanizmy pojemników
Arm nodes ourselves	Aktywuj punkty samodzielnie
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Aktywacja ignoruje ściany. Ustaw krótki zasięg, bo inaczej zbierzesz coś przez ścianę sąsiedniego pomieszczenia. Ruda jest wyjątkiem i zawsze jest sięgana z odległości do 25 m, ponieważ żyła odpowiada dopiero po kilku sekundach, a pytanie o nią dopiero, gdy już przy niej stoisz, sprawia, że otwiera się za późno, by miało to sens.
Arming range	Zasięg aktywacji
Auto-loot enabled	Automatyczne zbieranie włączone
Auto-loot on / off	Automatyczne zbieranie wł. / wył.
Backups	Kopie zapasowe
blank for English	puste dla angielskiego
Books and papers	Książki i dokumenty
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Nagrody za bossów, artefakty, przedmioty pamięci, sakiewki z monetami i skrzynie z nagrodami.
Break veins open rather than emptying them	Rozbijaj żyły zamiast je opróżniać
